"SeriesName","LookupTicker","Type","Index","Source","StartRange","EndRange","Frequency"
"CTXS","CTXS","equity","SP500","yahoo","NULL","NULL","d"
"CLF","CLF","equity","SP500","yahoo","NULL","NULL","d"
"CLX","CLX","equity","SP500","yahoo","NULL","NULL","d"
"CME","CME","equity","SP500","yahoo","NULL","NULL","d"
"CMS","CMS","equity","SP500","yahoo","NULL","NULL","d"
"COH","COH","equity","SP500","yahoo","NULL","NULL","d"
"KO","KO","equity","SP500","yahoo","NULL","NULL","d"
"CCE","CCE","equity","SP500","yahoo","NULL","NULL","d"
"CTSH","CTSH","equity","SP500","yahoo","NULL","NULL","d"
"CL","CL","equity","SP500","yahoo","NULL","NULL","d"
"CMCSA","CMCSA","equity","SP500","yahoo","NULL","NULL","d"
"CMA","CMA","equity","SP500","yahoo","NULL","NULL","d"
"CSC","CSC","equity","SP500","yahoo","NULL","NULL","d"
"CPWR","CPWR","equity","SP500","yahoo","NULL","NULL","d"
"CAG","CAG","equity","SP500","yahoo","NULL","NULL","d"
"COP","COP","equity","SP500","yahoo","NULL","NULL","d"
"CNX","CNX","equity","SP500","yahoo","NULL","NULL","d"
"ED","ED","equity","SP500","yahoo","NULL","NULL","d"
"STZ","STZ","equity","SP500","yahoo","NULL","NULL","d"
"CEG","CEG","equity","SP500","yahoo","NULL","NULL","d"
"GLW","GLW","equity","SP500","yahoo","NULL","NULL","d"
"COST","COST","equity","SP500","yahoo","NULL","NULL","d"
"CVH","CVH","equity","SP500","yahoo","NULL","NULL","d"
"CSX","CSX","equity","SP500","yahoo","NULL","NULL","d"
"CMI","CMI","equity","SP500","yahoo","NULL","NULL","d"
"CVS","CVS","equity","SP500","yahoo","NULL","NULL","d"
"DHI","DHI","equity","SP500","yahoo","NULL","NULL","d"
"DHR","DHR","equity","SP500","yahoo","NULL","NULL","d"
"DRI","DRI","equity","SP500","yahoo","NULL","NULL","d"
"DVA","DVA","equity","SP500","yahoo","NULL","NULL","d"
"DF","DF","equity","SP500","yahoo","NULL","NULL","d"
"DE","DE","equity","SP500","yahoo","NULL","NULL","d"
"DELL","DELL","equity","SP500","yahoo","NULL","NULL","d"
"DNR","DNR","equity","SP500","yahoo","NULL","NULL","d"
"XRAY","XRAY","equity","SP500","yahoo","NULL","NULL","d"
"DVN","DVN","equity","SP500","yahoo","NULL","NULL","d"
"DV","DV","equity","SP500","yahoo","NULL","NULL","d"
"DO","DO","equity","SP500","yahoo","NULL","NULL","d"
"DTV","DTV","equity","SP500","yahoo","NULL","NULL","d"
"DFS","DFS","equity","SP500","yahoo","NULL","NULL","d"
"DISCA","DISCA","equity","SP500","yahoo","NULL","NULL","d"
"D","D","equity","SP500","yahoo","NULL","NULL","d"
"RRD","RRD","equity","SP500","yahoo","NULL","NULL","d"
"DOV","DOV","equity","SP500","yahoo","NULL","NULL","d"
"DOW","DOW","equity","SP500","yahoo","NULL","NULL","d"
"DPS","DPS","equity","SP500","yahoo","NULL","NULL","d"
"DTE","DTE","equity","SP500","yahoo","NULL","NULL","d"
"DD","DD","equity","SP500","yahoo","NULL","NULL","d"
"DUK","DUK","equity","SP500","yahoo","NULL","NULL","d"
"DNB","DNB","equity","SP500","yahoo","NULL","NULL","d"
"ETFC","ETFC","equity","SP500","yahoo","NULL","NULL","d"
"EMN","EMN","equity","SP500","yahoo","NULL","NULL","d"
"EK","EK","equity","SP500","yahoo","NULL","NULL","d"
"ETN","ETN","equity","SP500","yahoo","NULL","NULL","d"
"EBAY","EBAY","equity","SP500","yahoo","NULL","NULL","d"
"ECL","ECL","equity","SP500","yahoo","NULL","NULL","d"
"EIX","EIX","equity","SP500","yahoo","NULL","NULL","d"
"EP","EP","equity","SP500","yahoo","NULL","NULL","d"
"ERTS","ERTS","equity","SP500","yahoo","NULL","NULL","d"
"EMC","EMC","equity","SP500","yahoo","NULL","NULL","d"
"EMR","EMR","equity","SP500","yahoo","NULL","NULL","d"
"ETR","ETR","equity","SP500","yahoo","NULL","NULL","d"
"EOG","EOG","equity","SP500","yahoo","NULL","NULL","d"
"EQT","EQT","equity","SP500","yahoo","NULL","NULL","d"
"EFX","EFX","equity","SP500","yahoo","NULL","NULL","d"
"EQR","EQR","equity","SP500","yahoo","NULL","NULL","d"
"EL","EL","equity","SP500","yahoo","NULL","NULL","d"
"EXC","EXC","equity","SP500","yahoo","NULL","NULL","d"
"EXPE","EXPE","equity","SP500","yahoo","NULL","NULL","d"
"EXPD","EXPD","equity","SP500","yahoo","NULL","NULL","d"
"ESRX","ESRX","equity","SP500","yahoo","NULL","NULL","d"
"XOM","XOM","equity","SP500","yahoo","NULL","NULL","d"
"FDO","FDO","equity","SP500","yahoo","NULL","NULL","d"
"FAST","FAST","equity","SP500","yahoo","NULL","NULL","d"
"FII","FII","equity","SP500","yahoo","NULL","NULL","d"
"FDX","FDX","equity","SP500","yahoo","NULL","NULL","d"
"FIS","FIS","equity","SP500","yahoo","NULL","NULL","d"
"FITB","FITB","equity","SP500","yahoo","NULL","NULL","d"
"FHN","FHN","equity","SP500","yahoo","NULL","NULL","d"
"FSLR","FSLR","equity","SP500","yahoo","NULL","NULL","d"
"FE","FE","equity","SP500","yahoo","NULL","NULL","d"
"FISV","FISV","equity","SP500","yahoo","NULL","NULL","d"
"FLIR","FLIR","equity","SP500","yahoo","NULL","NULL","d"
"FLS","FLS","equity","SP500","yahoo","NULL","NULL","d"
"FLR","FLR","equity","SP500","yahoo","NULL","NULL","d"
"FMC","FMC","equity","SP500","yahoo","NULL","NULL","d"
"FTI","FTI","equity","SP500","yahoo","NULL","NULL","d"
"F","F","equity","SP500","yahoo","NULL","NULL","d"
"FRX","FRX","equity","SP500","yahoo","NULL","NULL","d"
"FO","FO","equity","SP500","yahoo","NULL","NULL","d"
"BEN","BEN","equity","SP500","yahoo","NULL","NULL","d"
"FCX","FCX","equity","SP500","yahoo","NULL","NULL","d"
"FTR","FTR","equity","SP500","yahoo","NULL","NULL","d"
"GME","GME","equity","SP500","yahoo","NULL","NULL","d"
"GCI","GCI","equity","SP500","yahoo","NULL","NULL","d"
"GPS","GPS","equity","SP500","yahoo","NULL","NULL","d"
"GD","GD","equity","SP500","yahoo","NULL","NULL","d"
"GE","GE","equity","SP500","yahoo","NULL","NULL","d"
"GIS","GIS","equity","SP500","yahoo","NULL","NULL","d"
"GPC","GPC","equity","SP500","yahoo","NULL","NULL","d"
"GNW","GNW","equity","SP500","yahoo","NULL","NULL","d"
"GENZ","GENZ","equity","SP500","yahoo","NULL","NULL","d"
"GILD","GILD","equity","SP500","yahoo","NULL","NULL","d"
"GS","GS","equity","SP500","yahoo","NULL","NULL","d"
"GR","GR","equity","SP500","yahoo","NULL","NULL","d"
"GT","GT","equity","SP500","yahoo","NULL","NULL","d"
"GOOG","GOOG","equity","SP500","yahoo","NULL","NULL","d"
"GWW","GWW","equity","SP500","yahoo","NULL","NULL","d"
"HAL","HAL","equity","SP500","yahoo","NULL","NULL","d"
"HOG","HOG","equity","SP500","yahoo","NULL","NULL","d"
"HAR","HAR","equity","SP500","yahoo","NULL","NULL","d"
"HRS","HRS","equity","SP500","yahoo","NULL","NULL","d"
"HIG","HIG","equity","SP500","yahoo","NULL","NULL","d"
"HAS","HAS","equity","SP500","yahoo","NULL","NULL","d"
"HCP","HCP","equity","SP500","yahoo","NULL","NULL","d"
"HCN","HCN","equity","SP500","yahoo","NULL","NULL","d"
"HNZ","HNZ","equity","SP500","yahoo","NULL","NULL","d"
"HP","HP","equity","SP500","yahoo","NULL","NULL","d"
"HES","HES","equity","SP500","yahoo","NULL","NULL","d"
"HPQ","HPQ","equity","SP500","yahoo","NULL","NULL","d"
"HD","HD","equity","SP500","yahoo","NULL","NULL","d"
"HON","HON","equity","SP500","yahoo","NULL","NULL","d"
"HRL","HRL","equity","SP500","yahoo","NULL","NULL","d"
