Spot, Strike, Vol, Expiry, BSC_An_price, MC_price, numberPaths 
40,51.6,0.0100001,0.2,1e-07,1e-07,10000,
40,51.6,0.0100001,0.4,1e-07,1e-07,10000,
40,51.6,0.0100001,0.6,1e-07,1e-07,10000,
40,51.6,0.0100001,0.8,1e-07,1e-07,10000,
40,51.6,0.0100001,1,1e-07,1e-07,10000,
40,51.6,0.0480001,1e-07,1e-07,1e-07,10000,
40,51.6,0.0480001,0.2,1e-07,1e-07,10000,
40,51.6,0.0480001,0.4,1e-07,1e-07,10000,
40,51.6,0.0480001,0.6,1.00197e-07,1e-07,10000,
40,51.6,0.0480001,0.8,2.01764e-07,6.25713e-05,10000,
40,51.6,0.0480001,1,4.66267e-06,0.000274286,10000,
40,51.6,0.0860001,1e-07,1e-07,1e-07,10000,
40,51.6,0.0860001,0.2,1.00026e-07,1e-07,10000,
40,51.6,0.0860001,0.4,4.23683e-06,0.000281966,10000,
40,51.6,0.0860001,0.6,0.00028735,0.00208033,10000,
40,51.6,0.0860001,0.8,0.00268953,0.00625896,10000,
40,51.6,0.0860001,1,0.0110142,0.0167508,10000,
40,51.6,0.124,1e-07,1e-07,1e-07,10000,
40,51.6,0.124,0.2,2.76075e-06,0.000253608,10000,
40,51.6,0.124,0.4,0.0013853,0.0044528,10000,
40,51.6,0.124,0.6,0.0140263,0.0208854,10000,
40,51.6,0.124,0.8,0.0497291,0.0594914,10000,
40,51.6,0.124,1,0.113135,0.124019,10000,
40,51.6,0.162,1e-07,1e-07,1e-07,10000,
40,51.6,0.162,0.2,0.000310126,0.00228669,10000,
40,51.6,0.162,0.4,0.0173491,0.0251451,10000,
40,51.6,0.162,0.6,0.0820505,0.0934965,10000,
40,51.6,0.162,0.8,0.196922,0.208585,10000,
40,51.6,0.162,1,0.352412,0.363227,10000,
40,51.6,0.2,1e-07,1e-07,1e-07,10000,
40,51.6,0.2,0.2,0.00381412,0.00836047,10000,
40,51.6,0.2,0.4,0.0705256,0.0822211,10000,
40,51.6,0.2,0.6,0.22699,0.239604,10000,
40,51.6,0.2,0.8,0.445816,0.457086,10000,
40,51.6,0.2,1,0.704015,0.710479,10000,
40,54.8,0.0100001,1e-07,1e-07,1e-07,10000,
40,54.8,0.0100001,0.2,1e-07,1e-07,10000,
40,54.8,0.0100001,0.4,1e-07,1e-07,10000,
40,54.8,0.0100001,0.6,1e-07,1e-07,10000,
40,54.8,0.0100001,0.8,1e-07,1e-07,10000,
40,54.8,0.0100001,1,1e-07,1e-07,10000,
40,54.8,0.0480001,1e-07,1e-07,1e-07,10000,
40,54.8,0.0480001,0.2,1e-07,1e-07,10000,
40,54.8,0.0480001,0.4,1e-07,1e-07,10000,
40,54.8,0.0480001,0.6,1e-07,1e-07,10000,
40,54.8,0.0480001,0.8,1.00022e-07,1e-07,10000,
40,54.8,0.0480001,1,1.06402e-07,1e-07,10000,
40,54.8,0.0860001,1e-07,1e-07,1e-07,10000,
40,54.8,0.0860001,0.2,1e-07,1e-07,10000,
40,54.8,0.0860001,0.4,1.12914e-07,1e-07,10000,
40,54.8,0.0860001,0.6,6.32716e-06,0.000392712,10000,
40,54.8,0.0860001,0.8,0.000154017,0.00178697,10000,
40,54.8,0.0860001,1,0.00112983,0.00433278,10000,
40,54.8,0.124,1e-07,1e-07,1e-07,10000,
40,54.8,0.124,0.2,1.08496e-07,1e-07,10000,
40,54.8,0.124,0.4,7.34584e-05,0.00128811,10000,
40,54.8,0.124,0.6,0.00191034,0.00596431,10000,
40,54.8,0.124,0.8,0.0109095,0.0182064,10000,
40,54.8,0.124,1,0.0331295,0.0440877,10000,
40,54.8,0.162,1e-07,1e-07,1e-07,10000,
40,54.8,0.162,0.2,9.49702e-06,0.00051615,10000,
40,54.8,0.162,0.4,0.00277611,0.007484,10000,
40,54.8,0.162,0.6,0.0231127,0.0334576,10000,
40,54.8,0.162,0.8,0.0740111,0.0881346,10000,
40,54.8,0.162,1,0.15799,0.174041,10000,
40,54.8,0.2,1e-07,1e-07,1e-07,10000,
40,54.8,0.2,0.2,0.000349536,0.00282343,10000,
40,54.8,0.2,0.4,0.0195828,0.029473,10000,
40,54.8,0.2,0.6,0.0923275,0.107952,10000,
40,54.8,0.2,0.8,0.220759,0.238117,10000,
40,54.8,0.2,1,0.3936,0.41111,10000,
40,58,0.0100001,1e-07,1e-07,1e-07,10000,
40,58,0.0100001,0.2,1e-07,1e-07,10000,
