Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, MC_Results, NumberOfPaths 
41,50,0.124,0.4,0.848836,0.848879,0.0195961,10000,
41,50,0.124,0.6,2.95771,2.95774,0.0767874,10000,
41,50,0.124,0.8,5.69859,5.69852,0.176884,10000,
41,50,0.124,1,8.58753,8.58744,0.314299,10000,
41,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.162,0.2,0.272654,0.272654,0.00871932,10000,
41,50,0.162,0.4,2.47846,2.47849,0.0846647,10000,
41,50,0.162,0.6,5.58707,5.587,0.240719,10000,
41,50,0.162,0.8,8.6863,8.68625,0.450895,10000,
41,50,0.162,1,11.5388,11.5388,0.696004,10000,
41,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.2,0.2,0.872433,0.872473,0.033015,10000,
41,50,0.2,0.4,4.17271,4.17266,0.211895,10000,
41,50,0.2,0.6,7.60865,7.6086,0.490538,10000,
41,50,0.2,0.8,10.6546,10.6547,0.816516,10000,
41,50,0.2,1,13.3083,13.3084,1.16838,10000,
41.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
41.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
41.5,50,0.0480001,0.2,1e-07,1e-07,1e-07,10000,
41.5,50,0.0480001,0.4,3.54754e-06,3.5193e-06,1e-07,10000,
41.5,50,0.0480001,0.6,0.00200938,0.002004,0.000244275,10000,
41.5,50,0.0480001,0.8,0.0478181,0.0477827,0.00121852,10000,
41.5,50,0.0480001,1,0.313883,0.313849,0.00342167,10000,
41.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
41.5,50,0.0860001,0.2,0.000220568,0.000219676,0.000136889,10000,
41.5,50,0.0860001,0.4,0.105996,0.105966,0.00269659,10000,
41.5,50,0.0860001,0.6,0.882789,0.882832,0.0140517,10000,
41.5,50,0.0860001,0.8,2.60688,2.60695,0.0440412,10000,
41.5,50,0.0860001,1,5.04058,5.04057,0.0983089,10000,
41.5,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
41.5,50,0.124,0.2,0.0515356,0.0515141,0.00229313,10000,
41.5,50,0.124,0.4,1.19952,1.19958,0.02796,10000,
41.5,50,0.124,0.6,3.6834,3.6834,0.101529,10000,
41.5,50,0.124,0.8,6.66218,6.66209,0.222788,10000,
41.5,50,0.124,1,9.66607,9.66601,0.381357,10000,
41.5,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
41.5,50,0.162,0.2,0.417995,0.418011,0.0126521,10000,
41.5,50,0.162,0.4,3.04273,3.04273,0.109963,10000,
41.5,50,0.162,0.6,6.36951,6.36943,0.293857,10000,
41.5,50,0.162,0.8,9.54282,9.5428,0.529809,10000,
41.5,50,0.162,1,12.3981,12.3982,0.800342,10000,
41.5,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
41.5,50,0.2,0.2,1.15713,1.15717,0.0447633,10000,
41.5,50,0.2,0.4,4.78376,4.7837,0.259372,10000,
41.5,50,0.2,0.6,8.30919,8.30917,0.570452,10000,
41.5,50,0.2,0.8,11.3564,11.3564,0.926188,10000,
